Instance ID,Vertices,Author,Source Image Filename,Timestamp,Class,Validated,Device Text,Board Text,Logo,Defect,Notes
0,"[[[438, 259], [438, 395], [598, 395], [598, 259]]]",spandurangi,59.png,2020-11-25 11:19:03,IC,False,,,,False,
1,"[[[689, 718], [689, 1063], [175, 1063], [175, 718]]]",spandurangi,59.png,2020-11-25 11:19:20,IC,False,,,,False,
2,"[[[684, 1217], [684, 1555], [171, 1555], [171, 1217]]]",spandurangi,59.png,2020-11-25 11:19:31,IC,False,,,,False,
3,"[[[168, 1776], [168, 2127], [677, 2127], [677, 1776]]]",spandurangi,59.png,2020-11-25 11:19:44,IC,False,,,,False,
4,"[[[683, 2274], [683, 2624], [164, 2624], [164, 2274]]]",spandurangi,59.png,2020-11-25 11:19:51,IC,False,,,,False,
5,"[[[918, 2643], [918, 3158], [1270, 3158], [1270, 2643]]]",spandurangi,59.png,2020-11-25 11:20:06,IC,False,,,,False,
6,"[[[1394, 3153], [1394, 2663], [1732, 2663], [1732, 3153]]]",spandurangi,59.png,2020-11-25 11:20:17,IC,False,,,,False,
7,"[[[1953, 2829], [1953, 3128], [2214, 3128], [2214, 2829]]]",spandurangi,59.png,2020-11-25 11:20:27,IC,False,,,,False,
8,"[[[947, 185], [947, 699], [1286, 699], [1286, 185]]]",spandurangi,59.png,2020-11-25 11:20:41,IC,False,,,,False,
9,"[[[1413, 195], [1413, 713], [1762, 713], [1762, 195]]]",spandurangi,59.png,2020-11-25 11:22:02,IC,False,,,,False,
10,"[[[2385, 670], [2385, 205], [1988, 205], [1988, 670]]]",spandurangi,59.png,2020-11-25 11:22:14,IC,False,,,,False,
11,"[[[3250, 305], [3250, 483], [3424, 483], [3424, 305]]]",spandurangi,59.png,2020-11-25 11:22:26,IC,False,,,,False,
12,"[[[3424, 695], [3424, 873], [3248, 873], [3248, 695]]]",spandurangi,59.png,2020-11-25 11:22:51,IC,False,,,,False,
13,"[[[3240, 1251], [3240, 1081], [3416, 1081], [3416, 1251]]]",spandurangi,59.png,2020-11-25 11:23:01,IC,False,,,,False,
14,"[[[3411, 1455], [3411, 1628], [3236, 1628], [3236, 1455]]]",spandurangi,59.png,2020-11-25 11:23:13,IC,False,,,,False,
15,"[[[3409, 1824], [3409, 1996], [3232, 1996], [3232, 1824]]]",spandurangi,59.png,2020-11-25 11:23:25,IC,False,,,,False,
16,"[[[3227, 2363], [3227, 2188], [3403, 2188], [3403, 2363]]]",spandurangi,59.png,2020-11-25 11:23:36,IC,False,,,,False,
17,"[[[3400, 2560], [3400, 2733], [3220, 2733], [3220, 2560]]]",spandurangi,59.png,2020-11-25 11:23:43,IC,False,,,,False,
18,"[[[3219, 2923], [3219, 3095], [3393, 3095], [3393, 2923]]]",spandurangi,59.png,2020-11-25 11:23:51,IC,False,,,,False,
