Instance ID,Vertices,Author,Source Image Filename,Timestamp,Class,Validated,Text,Logo,Defect,Orientation,Notes
0,"[[[494, 2321], [494, 2374], [595, 2374], [595, 2321]]]",spandurangi,55.png,2020-08-09 18:14:02,Board,False,TDI,,False,180,
1,"[[[491, 2410], [491, 2472], [607, 2472], [607, 2410]]]",spandurangi,55.png,2020-08-09 18:14:08,Board,False,TDO,,False,180,
2,"[[[488, 2501], [488, 2558], [602, 2558], [602, 2501]]]",spandurangi,55.png,2020-08-09 18:14:12,Board,False,TCK,,False,180,
3,"[[[490, 2593], [490, 2657], [606, 2657], [606, 2593]]]",spandurangi,55.png,2020-08-09 18:14:15,Board,False,GND,,False,180,
4,"[[[490, 2685], [490, 2744], [601, 2744], [601, 2685]]]",spandurangi,55.png,2020-08-09 18:14:17,Board,False,3V3,,False,180,
5,"[[[254, 2133], [254, 2181], [318, 2181], [318, 2133]]]",spandurangi,55.png,2020-08-09 18:14:24,Board,False,J5,,False,180,
6,"[[[388, 2770], [388, 2819], [478, 2819], [478, 2770]]]",spandurangi,55.png,2020-08-09 18:14:30,Board,False,J12,,False,180,
7,"[[[494, 2229], [494, 2285], [608, 2285], [608, 2229]]]",spandurangi,55.png,2020-08-09 18:18:30,Board,False,TMS,,False,180,
8,"[[[907, 2192], [907, 2347], [977, 2347], [977, 2192]]]",spandurangi,55.png,2020-08-09 18:19:39,Unassigned,False,JTAG,,False,-90,
9,"[[[918, 2193], [918, 2346], [973, 2346], [973, 2193]]]",spandurangi,55.png,2020-08-09 18:20:07,Board,False,JTAG,,False,-90,
10,"[[[916, 2194], [916, 2344], [972, 2344], [972, 2194]]]",spandurangi,55.png,2020-08-09 18:20:32,Board,False,JTAG,,False,270,
11,"[[[1006, 2203], [1006, 2347], [1063, 2347], [1063, 2203]]]",spandurangi,55.png,2020-08-09 18:20:52,Board,False,QSPI,,False,270,
12,"[[[1099, 2270], [1099, 2347], [1156, 2347], [1156, 2270]]]",spandurangi,55.png,2020-08-09 18:21:04,Board,False,SD,,False,270,
13,"[[[1371, 2227], [1371, 2382], [1422, 2382], [1422, 2227]]]",spandurangi,55.png,2020-08-09 18:21:15,Board,False,JTAG,,False,270,
14,"[[[1472, 2265], [1472, 2381], [1524, 2381], [1524, 2265]]]",spandurangi,55.png,2020-08-09 18:21:28,Board,False,PLL,,False,270,
15,"[[[982, 2486], [982, 2536], [1077, 2536], [1077, 2486]]]",spandurangi,55.png,2020-08-09 18:21:39,Board,False,JP5,,False,180,
16,"[[[1347, 2583], [1347, 2627], [1438, 2627], [1438, 2583]]]",spandurangi,55.png,2020-08-09 18:21:55,Board,False,JP6,,False,180,
17,"[[[1456, 2584], [1456, 2628], [1545, 2628], [1545, 2584]]]",spandurangi,55.png,2020-08-09 18:21:57,Board,False,JP4,,False,180,
18,"[[[1616, 2561], [1616, 2621], [1778, 2621], [1778, 2561]]]",spandurangi,55.png,2020-08-09 18:22:01,Board,False,VGA,,False,180,
19,"[[[1792, 3089], [1792, 3151], [1870, 3151], [1870, 3089]]]",spandurangi,55.png,2020-08-09 18:24:21,Board,False,J2,,False,180,
20,"[[[1107, 2899], [1107, 2983], [1348, 2983], [1348, 2899]]]",spandurangi,55.png,2020-08-09 18:24:24,Device,False,QC.OK,,False,180,
21,"[[[1157, 2789], [1157, 2872], [1290, 2872], [1290, 2789]]]",spandurangi,55.png,2020-08-09 18:24:31,Device,False,15,,False,180,
22,"[[[262, 1407], [262, 1458], [327, 1458], [327, 1407]]]",spandurangi,55.png,2020-08-09 18:25:21,Board,False,J7,,False,180,
23,"[[[255, 1771], [255, 1819], [327, 1819], [327, 1771]]]",spandurangi,55.png,2020-08-09 18:25:29,Board,False,J6,,False,180,
24,"[[[679, 1244], [679, 1307], [761, 1307], [761, 1244]]]",spandurangi,55.png,2020-08-09 18:25:36,Board,False,IN,,False,180,
25,"[[[779, 1249], [779, 1307], [951, 1307], [951, 1249]]]",spandurangi,55.png,2020-08-09 18:25:39,Board,False,LINE,,False,180,
26,"[[[670, 1611], [670, 1676], [751, 1676], [751, 1611]]]",spandurangi,55.png,2020-08-09 18:25:55,Board,False,IN,,False,180,
27,"[[[770, 1615], [770, 1669], [907, 1669], [907, 1615]]]",spandurangi,55.png,2020-08-09 18:25:58,Board,False,MIC,,False,180,
28,"[[[670, 1966], [670, 2030], [828, 2030], [828, 1966]]]",spandurangi,55.png,2020-08-09 18:26:03,Board,False,OUT,,False,180,
29,"[[[839, 1973], [839, 2035], [1009, 2035], [1009, 1973]]]",spandurangi,55.png,2020-08-09 18:26:08,Board,False,HPH,,False,180,
30,"[[[439, 1028], [439, 1081], [636, 1081], [636, 1028]]]",spandurangi,55.png,2020-08-09 18:26:30,Board,False,XADC,,False,180,
31,"[[[528, 229], [528, 289], [650, 289], [650, 229]]]",spandurangi,55.png,2020-08-09 18:31:37,Board,False,GND,,False,180,
32,"[[[464, 372], [464, 420], [534, 420], [534, 372]]]",spandurangi,55.png,2020-08-09 18:31:39,Board,False,JA,,False,180,
33,"[[[628, 376], [628, 420], [684, 420], [684, 376]]]",spandurangi,55.png,2020-08-09 18:31:47,Board,False,J1,,False,180,
34,"[[[640, 529], [640, 579], [750, 579], [750, 529]]]",spandurangi,55.png,2020-08-09 18:32:04,Board,False,3V3,,False,180,
35,"[[[640, 582], [640, 631], [749, 631], [749, 582]]]",spandurangi,55.png,2020-08-09 18:32:15,Board,False,GND,,False,180,
36,"[[[638, 645], [638, 694], [747, 694], [747, 645]]]",spandurangi,55.png,2020-08-09 18:32:21,Board,False,AD6,,False,180,
37,"[[[749, 620], [749, 662], [874, 662], [874, 620]]]",spandurangi,55.png,2020-08-09 18:32:33,Board,False,(R18),,False,180,
38,"[[[876, 620], [876, 663], [994, 663], [994, 620]]]",spandurangi,55.png,2020-08-09 18:32:38,Board,False,BTN0,,False,180,
39,"[[[635, 738], [635, 788], [777, 788], [777, 738]]]",spandurangi,55.png,2020-08-09 18:33:49,Board,False,AD15,,False,180,
40,"[[[635, 830], [635, 882], [748, 882], [748, 830]]]",spandurangi,55.png,2020-08-09 18:34:04,Board,False,AD7,,False,180,
41,"[[[635, 923], [635, 971], [776, 971], [776, 923]]]",spandurangi,55.png,2020-08-09 18:34:12,Board,False,AD14,,False,180,
42,"[[[1009, 672], [1009, 716], [1099, 716], [1099, 672]]]",spandurangi,55.png,2020-08-09 18:34:26,Board,False,R85,,False,180,
43,"[[[1011, 717], [1011, 758], [1099, 758], [1099, 717]]]",spandurangi,55.png,2020-08-09 18:34:41,Board,False,R74,,False,180,
44,"[[[1007, 936], [1007, 977], [1096, 977], [1096, 936]]]",spandurangi,55.png,2020-08-09 18:36:00,Board,False,R86,,False,180,
45,"[[[1007, 980], [1007, 1023], [1096, 1023], [1096, 980]]]",spandurangi,55.png,2020-08-09 18:36:03,Board,False,R75,,False,180,
46,"[[[1384, 544], [1384, 592], [1446, 592], [1446, 544]]]",spandurangi,55.png,2020-08-09 18:36:44,Board,False,JB,,False,180,
47,"[[[1250, 626], [1250, 668], [1359, 668], [1359, 626]]]",spandurangi,55.png,2020-08-09 18:36:51,Board,False,BTN1,,False,180,
48,"[[[1121, 624], [1121, 668], [1248, 668], [1248, 624]]]",spandurangi,55.png,2020-08-09 18:36:57,Board,False,(P16),,False,180,
