Instance ID,Vertices,Author,Source Image Filename,Timestamp,Class,Validated,Text,Logo,Defect,Orientation,Notes
0,"[[[693, 676], [693, 716], [783, 716], [783, 676]]]",mvutukuru,60.png,2020-08-08 14:18:49,Board,False,C64,,True,180,
1,"[[[584, 754], [584, 793], [678, 793], [678, 754]]]",mvutukuru,60.png,2020-08-08 14:20:37,Board,False,C65,,False,180,
2,"[[[617, 802], [617, 910], [660, 910], [660, 802]]]",mvutukuru,60.png,2020-08-08 14:21:01,Board,False,IC12,,False,270,
3,"[[[543, 937], [543, 977], [659, 977], [659, 937]]]",mvutukuru,60.png,2020-08-08 14:21:37,Board,False,R159,,False,180,
4,"[[[675, 968], [675, 1008], [773, 1008], [773, 968]]]",mvutukuru,60.png,2020-08-08 14:22:08,Board,False,IC11,,False,180,
5,"[[[856, 916], [856, 958], [964, 958], [964, 916]]]",mvutukuru,60.png,2020-08-08 14:22:40,Board,False,R161,,False,180,
6,"[[[393, 1003], [393, 1046], [485, 1046], [485, 1003]]]",mvutukuru,60.png,2020-08-08 14:23:09,Board,False,C63,,False,180,
7,"[[[433, 1120], [433, 1238], [474, 1238], [474, 1120]]]",mvutukuru,60.png,2020-08-08 19:12:57,Board,False,R158,,False,270,
8,"[[[501, 1214], [501, 1259], [622, 1259], [622, 1214]]]",mvutukuru,60.png,2020-08-08 19:13:27,Board,False,R165,,False,180,
9,"[[[842, 1043], [842, 1085], [958, 1085], [958, 1043]]]",mvutukuru,60.png,2020-08-08 19:13:55,Board,False,R160,,False,180,
10,"[[[824, 1098], [824, 1144], [917, 1144], [917, 1098]]]",mvutukuru,60.png,2020-08-08 19:14:15,Board,False,C60,,False,180,
11,"[[[737, 1321], [737, 1364], [866, 1364], [866, 1321]]]",mvutukuru,60.png,2020-08-08 19:14:47,Board,False,R228,,False,180,
12,"[[[698, 1274], [698, 1316], [787, 1316], [787, 1274]]]",mvutukuru,60.png,2020-08-08 19:15:11,Board,False,C62,,False,180,
13,"[[[607, 1275], [607, 1316], [688, 1316], [688, 1275]]]",mvutukuru,60.png,2020-08-08 19:15:42,Board,False,C61,,False,180,
14,"[[[1056, 1026], [1056, 1116], [1101, 1116], [1101, 1026]]]",mvutukuru,60.png,2020-08-08 19:16:22,Board,False,R76,,False,270,
15,"[[[1054, 1195], [1054, 1285], [1098, 1285], [1098, 1195]]]",mvutukuru,60.png,2020-08-08 19:16:57,Board,False,R84,,False,270,
16,"[[[1314, 1026], [1314, 1120], [1358, 1120], [1358, 1026]]]",mvutukuru,60.png,2020-08-08 19:17:40,Board,False,R78,,False,270,
17,"[[[1312, 1199], [1312, 1277], [1357, 1277], [1357, 1199]]]",mvutukuru,60.png,2020-08-08 19:18:09,Board,False,R81,,False,270,
18,"[[[1569, 1031], [1569, 1123], [1613, 1123], [1613, 1031]]]",mvutukuru,60.png,2020-08-08 19:18:31,Board,False,R80,,False,270,
