Instance ID,Vertices,Author,Source Image Filename,Timestamp,Class,Validated,Text,Logo,Defect,Orientation,Notes
0,"[[[1441, 1582], [1441, 1711], [1499, 1711], [1499, 1582]]]",djohnson,62.png,2020-08-06 16:46:31,Board,False,R59,,False,90,
1,"[[[1219, 1507], [1219, 1636], [1278, 1636], [1278, 1507]]]",djohnson,62.png,2020-08-06 16:47:50,Board,False,R69,,False,90,
2,"[[[1370, 1580], [1370, 1708], [1426, 1708], [1426, 1580]]]",djohnson,62.png,2020-08-06 16:48:47,Board,False,R60,,False,90,
3,"[[[1173, 2444], [1173, 2574], [1230, 2574], [1230, 2444]]]",djohnson,62.png,2020-08-06 16:49:10,Board,False,R87,,False,90,
4,"[[[1294, 2114], [1294, 2240], [1352, 2240], [1352, 2114]]]",djohnson,62.png,2020-08-06 16:49:41,Board,False,R79,,False,90,
5,"[[[1572, 2042], [1572, 2170], [1626, 2170], [1626, 2042]]]",djohnson,62.png,2020-08-06 16:50:13,Board,False,R77,,False,90,
6,"[[[1640, 2058], [1640, 2187], [1695, 2187], [1695, 2058]]]",djohnson,62.png,2020-08-06 16:50:58,Board,False,R76,,False,90,
7,"[[[1227, 587], [1227, 699], [1285, 699], [1285, 587]]]",djohnson,62.png,2020-08-06 16:51:36,Board,False,C51,,False,90,
8,"[[[1640, 1819], [1640, 1946], [1696, 1946], [1696, 1819]]]",djohnson,62.png,2020-08-06 16:53:42,Board,False,C77,,False,90,
9,"[[[1974, 1838], [1974, 1965], [2031, 1965], [2031, 1838]]]",djohnson,62.png,2020-08-06 16:54:15,Board,False,C78,,False,90,
10,"[[[1826, 1494], [1826, 1622], [1882, 1622], [1882, 1494]]]",djohnson,62.png,2020-08-06 16:54:40,Board,False,C68,,False,90,
11,"[[[1507, 2245], [1507, 2404], [1562, 2404], [1562, 2245]]]",djohnson,62.png,2020-08-06 16:55:16,Board,False,C102,,False,90,
12,"[[[1355, 2442], [1355, 2568], [1408, 2568], [1408, 2442]]]",djohnson,62.png,2020-08-06 16:56:16,Board,False,R86,,False,90,
13,"[[[1540, 2515], [1540, 2678], [1596, 2678], [1596, 2515]]]",djohnson,62.png,2020-08-06 16:56:54,Board,False,C103,,False,90,
14,"[[[2090, 1516], [2090, 1644], [2145, 1644], [2145, 1516]]]",djohnson,62.png,2020-08-06 16:57:33,Board,False,R58,,False,90,
15,"[[[2161, 1523], [2161, 1650], [2215, 1650], [2215, 1523]]]",djohnson,62.png,2020-08-06 16:58:00,Board,False,R57,,False,90,
16,"[[[1716, 2489], [1716, 2616], [1770, 2616], [1770, 2489]]]",djohnson,62.png,2020-08-06 16:58:40,Board,False,R85,,False,90,
17,"[[[1823, 2245], [1823, 2372], [1879, 2372], [1879, 2245]]]",djohnson,62.png,2020-08-06 16:59:11,Board,False,R75,,False,90,
18,"[[[1291, 2850], [1291, 2976], [1347, 2976], [1347, 2850]]]",djohnson,62.png,2020-08-06 16:59:47,Board,False,R96,,False,90,
19,"[[[1910, 2077], [1910, 2207], [1966, 2207], [1966, 2077]]]",djohnson,62.png,2020-08-06 17:00:47,Board,False,C83,,False,90,
20,"[[[2106, 2300], [2106, 2428], [2161, 2428], [2161, 2300]]]",djohnson,62.png,2020-08-06 17:01:39,Board,False,C94,,False,90,
21,"[[[1314, 2316], [1314, 2347], [1334, 2347], [1334, 2316]]]",djohnson,62.png,2020-08-06 17:02:17,Device,False,330,,False,90,
22,"[[[1315, 2483], [1315, 2512], [1335, 2512], [1335, 2483]]]",djohnson,62.png,2020-08-06 17:02:59,Device,False,221,,False,180,
23,"[[[1385, 1485], [1385, 1520], [1407, 1520], [1407, 1485]]]",djohnson,62.png,2020-08-06 17:03:37,Device,False,472,,False,180,
24,"[[[1462, 1493], [1462, 1516], [1482, 1516], [1482, 1493]]]",djohnson,62.png,2020-08-06 17:04:13,Device,False,153,,False,180,
25,"[[[1405, 2470], [1405, 2519], [1439, 2519], [1439, 2470]]]",djohnson,62.png,2020-08-06 17:04:48,Device,False,4752,,False,90,
26,"[[[1580, 2311], [1580, 2343], [1601, 2343], [1601, 2311]]]",djohnson,62.png,2020-08-06 17:05:47,Device,False,330,,False,270,
27,"[[[1650, 2312], [1650, 2347], [1672, 2347], [1672, 2312]]]",djohnson,62.png,2020-08-06 17:07:02,Device,False,472,,False,90,
28,"[[[1656, 2487], [1656, 2522], [1678, 2522], [1678, 2487]]]",djohnson,62.png,2020-08-06 17:07:41,Device,False,472,,False,90,
29,"[[[1370, 2753], [1370, 2811], [1538, 2811], [1538, 2753]]]",djohnson,62.png,2020-08-06 17:08:24,Board,False,R102,,False,0,
30,"[[[1228, 3043], [1228, 3098], [1392, 3098], [1392, 3043]]]",djohnson,62.png,2020-08-06 17:08:58,Board,False,C127,,False,0,
31,"[[[1384, 2963], [1384, 2990], [1404, 2990], [1404, 2963]]]",djohnson,62.png,2020-08-06 17:09:26,Device,False,222,,False,270,
